,feature,mz,tier,consensus,max_abs_d,norm_d,norm_lasso,lasso_sel,n_contrasts
97,FT-234,1297.3438707330265,Tier 3 - Exploratory candidates,0.031542047690584364,1.3286515873720994,0.06308409538116873,0.0,False,1
98,FT-202,1033.9870057402484,Tier 2 - Supporting markers,0.029228519526779368,1.2749671785137,0.058457039053558736,0.0,False,2
99,FT-088,1223.7937689750972,Tier 2 - Supporting markers,0.026563351841781675,1.2131231284104613,0.05312670368356335,0.0,False,2
100,FT-168,1336.3262451050714,Tier 2 - Supporting markers,0.025563376215338537,1.1899191314942896,0.051126752430677075,0.0,False,2
101,FT-197,1230.809519318578,Tier 2 - Supporting markers,0.024898708223403492,1.1744958015377411,0.049797416446806984,0.0,False,2
102,FT-205,1559.5079808864853,Tier 2 - Supporting markers,0.024589381966474658,1.1673180210778333,0.049178763932949315,0.0,False,2
103,FT-105,1222.2792600253013,Tier 2 - Supporting markers,0.023592472305940526,1.1441851685592013,0.04718494461188105,0.0,False,2
104,FT-029,1845.2657451181792,Tier 3 - Exploratory candidates,0.02188257668017047,1.1045077886529822,0.04376515336034094,0.0,False,1
105,FT-038,1025.690862799387,Tier 2 - Supporting markers,0.02162556270281697,1.0985438917536783,0.04325112540563394,0.0,False,3
106,FT-151,1088.6951060782058,Tier 2 - Supporting markers,0.021557655423386918,1.0969681330443533,0.043115310846773836,0.0,False,2
107,FT-170,1335.8228921318928,Tier 2 - Supporting markers,0.021000144353012815,1.084031332570819,0.04200028870602563,0.0,False,2
108,FT-229,975.1420796493152,Tier 2 - Supporting markers,0.020478178458101265,1.071919342342662,0.04095635691620253,0.0,False,2
109,FT-079,1077.2093617269695,Tier 2 - Supporting markers,0.01972561534667634,1.0544564445930023,0.03945123069335268,0.0,False,2
110,FT-089,1233.2816716646137,Tier 2 - Supporting markers,0.018404051566251887,1.0237901352604748,0.036808103132503774,0.0,False,2
111,FT-247,1210.8237284316058,Tier 3 - Exploratory candidates,0.015453587026859039,0.955325896470112,0.030907174053718078,0.0,False,1
112,FT-217,1089.0287993120237,Tier 2 - Supporting markers,0.014055760400437134,0.9228899411616743,0.028111520800874267,0.0,False,2
113,FT-093,1233.7846794103978,Tier 2 - Supporting markers,0.009655562112958576,0.8207852650143479,0.019311124225917152,0.0,False,2
114,FT-005,886.6324598613013,Tier 2 - Supporting markers,0.009244487341436791,0.811246454788907,0.018488974682873582,0.0,False,2
115,FT-120,1558.9989797646351,Tier 3 - Exploratory candidates,0.009227260978531335,0.8108467245743248,0.01845452195706267,0.0,False,1
116,FT-006,887.6403722304062,Tier 2 - Supporting markers,0.009016262211471225,0.8059505904979437,0.01803252442294245,0.0,False,2
117,FT-228,1618.0944863886548,Tier 3 - Exploratory candidates,0.008529399309513266,0.7946531498635011,0.01705879861902653,0.0,False,1
118,FT-004,888.6453654740943,Tier 2 - Supporting markers,0.007058712366772559,0.7605265027917189,0.014117424733545119,0.0,False,2
119,FT-231,1617.0940780665944,Tier 3 - Exploratory candidates,0.006847480013733342,0.7556249484548878,0.013694960027466684,0.0,False,1
120,FT-023,1373.9225103480585,Tier 3 - Exploratory candidates,0.006436343731052198,0.7460847108899055,0.012872687462104395,0.0,False,1
121,FT-002,889.6499309783783,Tier 2 - Supporting markers,0.0058510795099037975,0.7325039106948266,0.011702159019807595,0.0,False,2
122,FT-098,1234.285360466548,Tier 3 - Exploratory candidates,0.005684953239068505,0.7286490232613513,0.01136990647813701,0.0,False,1
123,FT-199,1223.794329633322,Tier 3 - Exploratory candidates,0.003552387237173497,0.6791637621980225,0.007104774474346994,0.0,False,1
124,FT-018,1372.9191123009864,Tier 3 - Exploratory candidates,0.001118715464438027,0.6226914734579538,0.002237430928876054,0.0,False,1
125,FT-155,1266.2831822007336,Tier 3 - Exploratory candidates,0.0,0.5967321705505148,0.0,0.0,False,1
