feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std,qc_cv_pct,d_ratio_pct,drift_r2,det_Dunn,det_French,det_LMU
FT-105,1222.2792600253013,1222.3523829534292,1222.2154645351295,0.0356384043734069,1300.11549170832,1340.2901754940272,1302.463122605168,1297.468351311746,1283.18202748018,1.2617595384120577,0.44143769458449855,76.7635030745315,0.13394835054340598,1.0,1.0,1.0
FT-120,1558.9989797646351,1559.0842363807174,1558.920019528133,0.044886920178662,1386.1476473421424,1396.046158381872,1388.6361896759065,1383.3754083622428,1376.375687190463,1.270025774274783,7.323500176275555,82.2245721429867,0.13281542269299562,0.9629629629629629,1.0,0.9615384615384616
FT-072,1252.819559504331,1252.8923288346316,1252.7474352137208,0.0360234419531445,1252.123154423304,1259.34100136828,1254.3494914890537,1249.7181801223417,1244.226415264071,1.2333870429369769,2.587825977829961,64.2698138020724,0.13136875614293,1.0,1.0,1.0
FT-234,1297.3438707330265,1297.41780999526,1297.2834308267838,0.035936390989363,1326.1469761141468,1339.8936870180316,1328.3423882735617,1323.7863328692615,1309.1371917724628,1.0893447788281685,1.4317523511952366,92.2519232052051,0.12359564322272729,1.0,1.0,1.0
FT-068,1150.2524730526775,1150.3175604084613,1150.188700028146,0.0330723340888498,1279.7884240559065,1291.1614973466476,1282.297445204404,1277.0675088026385,1271.432436429538,1.252126286661389,1.9177588335573632,43.904423738209026,0.1192092831065729,1.0,1.0,1.0
FT-170,1335.8228921318928,1335.9020610217854,1335.7547405936011,0.0383352462187882,1551.4213307481,1575.553642272948,1553.910653186191,1548.7607078924857,1537.0798873901392,1.2195413220166411,1.711880809256897,45.24004482906895,0.11713749079135526,1.0,1.0,1.0
FT-179,728.4969707230775,728.5374900581327,728.4606010611253,0.0212811240501545,1014.0492700576092,1031.0792793022397,1016.8041164703352,1011.1718983749886,1001.4421236646056,1.3515994807877785,1.3897593138170323,90.7607957102176,0.11566782276964342,1.0,1.0,1.0
FT-178,1455.998949997305,1456.082154844198,1455.926444513204,0.041233206473815,1013.726434598975,1028.9705747968685,1016.3456457697848,1011.168015919862,1000.145713291808,1.295076577039198,2.2963231248743594,60.45825755553894,0.11452403828064096,1.0,1.0,1.0
FT-155,1266.2831822007336,1266.3496637437588,1266.2194012278928,0.0351803559518064,1499.1248349190344,1514.2912847345538,1501.8993996529623,1496.2190622803143,1483.236571225258,1.3516557316872444,1.907795050950642,93.34769244974322,0.11277599304731352,1.0,1.0,1.0
FT-176,871.0972026876352,871.1464497877009,871.0521433276865,0.0261144448367921,967.075674195556,981.0014984824444,969.5888018377036,964.5575877934904,954.5241061123936,1.1831890005084889,1.4848806447317342,42.46650542627701,0.10266583833105962,1.0,1.0,1.0
FT-026,727.9951742528884,728.0375875622003,727.9575827820195,0.0214790515447573,1014.168080213055,1032.1152803172229,1016.9923818887036,1011.3062294193828,999.9946789119542,1.3691867366597237,1.3725465190905985,93.66040102603453,0.0983142608542252,1.0,1.0,1.0
FT-177,1372.9222666552944,1373.0044393277417,1372.8475550406097,0.0419239569538517,1005.5678939773716,1014.2933441162128,1009.3238316986228,1001.3395867388192,999.7053329467792,2.0632318308477204,12.24635833164471,50.75522274508386,0.09366711992232538,0.9629629629629629,0.8076923076923077,0.7307692307692307
FT-057,1179.2722036799555,1179.3415370035414,1179.2139907053818,0.0342749572089302,1244.832670568563,1260.2540539156994,1247.2750431006125,1242.2433003120475,1231.9048456991884,1.2191820975445251,0.9933198314955981,85.12572769900585,0.09362939138681994,1.0,1.0,1.0
